Label,Enzyme,Reaction ID,Substrates,Products,EC,Mechanism,Km,Kcat,Inhibitors,KI,Keq,Kcat_Imputed,Km_Imputed,KI_Imputed
R28,Adenylate kinase,R00127,1 C00002; 1 C00020,2.0 C00008,2.7.4.3,MRL,Km_C00002: 0.1395; Km_C00020: 0.039; Km_C00008: 0.091,Kcat_F: 12.2119; Kcat_R: 12.3317,,,0.8737231117241242,,,
R29,Nucleoside-diphosphate kinase,R00331,1 C00002; 1 C00454,1 C00008; 1 C00201,2.7.4.6,MRL,Km_C00002: 0.483644; Km_C00454: 0.40638; Km_C00008: 0.300361; Km_C00201: 0.396795,Kcat_F: 19.8289; Kcat_R: 17.7044,,,6133273.779938895,,Km_C00201,
R30,"Pyruvate, water dikinase",R00199,1 C00001; 1 C00002; 1 C00022,1 C00009; 1 C00020; 1 C00074,2.7.9.2,MRL,Km_C00001: 2.13667; Km_C00002: 0.028; Km_C00022: 0.083; Km_C00009: 10.5; Km_C00020: 0.0130042; Km_C00074: 0.0593652,Kcat_F: 21.5341; Kcat_R: 32.3908,C06500,C06500_KI: 0.0021,7.370111364902889,,Km_C00001,
R31,Fructose-bisphosphatase,R00762,1 C00001; 1 C00354,1 C00009; 1 C00085,3.1.3.11,MRL,Km_C00001: 0.0590824; Km_C00354: 0.068225; Km_C00009: 0.0590824; Km_C00085: 0.0499397,Kcat_F: 15.9; Kcat_R: 21.9674,C00020; C00665; C00009; C01960,C00020_KI: 1.50031;C00665_KI: 0.000303333;C00009_KI: 0.35;C01960_KI: -999,118.59147723031069,,Km_C00001; Km_C00009,
R32,Phosphoenolpyruvate carboxylase,R00345,1 C00009; 1 C00036,1 C00001; 1 C00011; 1 C00074,4.1.1.31,MRL,Km_C00009: 0.134677; Km_C00036: 0.0240305; Km_C00001: 0.134677; Km_C00011: 0.19; Km_C00074: 0.19,Kcat_F: 48054.3; Kcat_R: 540,,,8.730133459842129e-08,,Km_C00009; Km_C00001,
R33,Phosphoenolpyruvate carboxykinase (atp),R00341,1 C00002; 1 C00036,1 C00008; 1 C00011; 1 C00074,4.1.1.49,MRL,Km_C00002: 0.06; Km_C00036: 0.67; Km_C00008: 0.05; Km_C00011: 13; Km_C00074: 2.1575,Kcat_F: 5.5999; Kcat_R: 0.809468,,,0.013703140825955655,,,
R34,Fructose-bisphosphate aldolase,R01068,1 C00354,1 C00111; 1 C00118,4.1.2.13,MRL,Km_C00354: 0.18; Km_C00111: 0.0905284; Km_C00118: 0.14355,Kcat_F: 6.2425; Kcat_R: 1619.66,C00111; C15650,C00111_KI: 0.915;C15650_KI: 0.35,8.703975959054509e-05,,,
R35,Isocitrate lyase,R00479,1 C00311,1 C00042; 1 C00048,4.1.3.1,MRL,Km_C00311: 0.600864; Km_C00042: 0.59; Km_C00048: 0.13,Kcat_F: 26.2265; Kcat_R: 24.3113,C03071; C02287; C02170; C00074,C03071_KI: 0.04;C02287_KI: 0.5;C02170_KI: 15;C00074_KI: 0.893,0.021305645878763865,,,
R36,Carbonic anhydrase,R00132,1 C01353,1 C00001; 1 C00011,4.2.1.1,MRL,Km_C01353: 8.315; Km_C00001: 8.315; Km_C00011: 8.315,Kcat_F: 8298.17; Kcat_R: 1237.43,,,1.635682377793774e-08,R,Km_C00001; Km_C00011,
R37,Phosphopyruvate hydratase,R00658,1 C00631,1 C00001; 1 C00074,4.2.1.11,MRL,Km_C00631: 0.364944; Km_C00001: 0.447092; Km_C00074: 0.529241,Kcat_F: 288.079; Kcat_R: 1557.35,,,4.655744748031,,Km_C00001,
R38,Enoyl-coa hydratase,R02685,1 C00640,1 C00001; 1 C00658,4.2.1.17,MRL,Km_C00640: 0.037194; Km_C00001: 0.037194; Km_C00658: 0.037194,Kcat_F: 38.0891; Kcat_R: 1237.43,,,1.0,R,Km_C00001; Km_C00658,
R40,Fumarate hydratase,R01082,1 C00149,1 C00001; 1 C00122,4.2.1.2,MRL,Km_C00149: 0.677143; Km_C00001: 0.593771; Km_C00122: 0.5104,Kcat_F: 11.2; Kcat_R: 783.567,,,0.25101855338099716,,Km_C00001,
R41,Aconitate hydratase,R01324,1 C00158,1 C00311,4.2.1.3,MRL,Km_C00158: 6.08; Km_C00311: 0.376448,Kcat_F: 22.743; Kcat_R: 22.5585,,,0.06308443380260503,,,
R43,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,R04537,1 C04620,1 C00001; 1 C05751,4.2.1.59,MRL,Km_C04620: 113.968; Km_C00001: 113.968; Km_C05751: 113.968,Kcat_F: 2954.87; Kcat_R: 1237.43,,,1.0,F; R,Km_C04620; Km_C00001; Km_C05751,
R44,L-serine ammonia-lyase,R00220,1 C00065,1 C00014; 1 C00022,4.3.1.17,MRL,Km_C00065: 420; Km_C00014: 210.41; Km_C00022: 0.82066,Kcat_F: 490; Kcat_R: 1237.43,C00740; C00041,C00740_KI: 1.41;C00041_KI: 0.9,194010.3367263319,R,Km_C00014,
R46,Ribulose-phosphate 3-epimerase,R01529,1 C00199,1 C00231,5.1.3.1,MRL,Km_C00199: 0.185208; Km_C00231: 0.0114164,Kcat_F: 48.7291; Kcat_R: 29.7172,,,3.9255303350869197,,,
R47,Triose-phosphate isomerase,R01015,1 C00118,1 C00111,5.3.1.1,MRL,Km_C00118: 1.03; Km_C00111: 0.333004,Kcat_F: 9000; Kcat_R: 1808.25,C00988,C00988_KI: 6,9.654158192504244,,,
R48,Ribose-5-phosphate isomerase,R01056,1 C00117,1 C00199,5.3.1.6,MRL,Km_C00117: 2.77667; Km_C00199: 1.97465,Kcat_F: 2100; Kcat_R: 1690.36,C00009; C04302,C00009_KI: 8;C04302_KI: 1.9,0.4214285151704329,,,
R49,Glucose-6-phosphate isomerase,R00771,1 C00092,1 C00085,5.3.1.9,MRL,Km_C00092: 0.28; Km_C00085: 0.2,Kcat_F: 238.89; Kcat_R: 166.987,,,0.34489156866158693,,,
R50,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R08639,1 C00103,1 C00092,5.4.2.2,MRL,Km_C00103: 0.152037; Km_C00092: 0.20803,Kcat_F: 35.8901; Kcat_R: 43.605,,,19.57005447183928,,,
R51,Acetate-coa ligase,R00235,1 C00002; 1 C00010; 1 C00033,1 C00013; 1 C00020; 1 C00024,6.2.1.1,MRL,Km_C00002: 0.145694; Km_C00010: 0.0811303; Km_C00033: 1.27985; Km_C00013: 0.330117; Km_C00020: 0.0484825; Km_C00024: 0.0954262,Kcat_F: 74.9622; Kcat_R: 40.3682,,,27.390597980701735,,Km_C00013,
R52,Long-chain-fatty-acid-coa ligase,R00390,1 C00002; 1 C00010; 1 C00347,1 C00013; 1 C00020; 1 C00040,6.2.1.3,MRL,Km_C00002: 0.13; Km_C00010: 0.0406667; Km_C00347: 0.0627311; Km_C00013: 0.0627311; Km_C00020: 0.0175266; Km_C00040: 0.0627311,Kcat_F: 1.3776; Kcat_R: 0.64026,,,1.4035922178528375e+217,,Km_C00347; Km_C00013; Km_C00040,
R53,Succinate-coa ligase (adp-forming),R00405,1 C00002; 1 C00010; 1 C00042,1 C00008; 1 C00009; 1 C00091,6.2.1.5,MRL,Km_C00002: 0.07; Km_C00010: 4; Km_C00042: 0.25; Km_C00008: 0.150815; Km_C00009: 0.908532; Km_C00091: 0.0718453,Kcat_F: 368.189; Kcat_R: 45.7411,,,1.6323302120938148,,Km_C00009,
R54,Pyruvate carboxylase,R00344,1 C00002; 1 C00022; 1 C00288,1 C00008; 1 C00009; 1 C00036,6.4.1.1,MRL,Km_C00002: 15.5794; Km_C00022: 9.7; Km_C00288: 10.8; Km_C00008: 147.541; Km_C00009: 36.7728; Km_C00036: 0.243751,Kcat_F: 8.35989; Kcat_R: 0.1465,C00022; C01444; C00049,C00022_KI: 10;C01444_KI: 11.775;C00049_KI: 3.6,18.246066896771694,,Km_C00009,
R55,Acetyl-coa carboxylase,R00742,1 C00002; 1 C00024; 1 C00288,1 C00008; 1 C00009; 1 C00083,6.4.1.2,MRL,Km_C00002: 0.1; Km_C00024: 0.1; Km_C00288: 0.1; Km_C00008: 0.1; Km_C00009: 0.1; Km_C00083: 0.1,Kcat_F: 2954.87; Kcat_R: 1237.43,C05764,C05764_KI: 0.088,39.32771904302322,F; R,Km_C00002; Km_C00024; Km_C00288; Km_C00008; Km_C00009,
