compound_id,preferred_name,synonyms
kegg:C03565,"2''-Nucleotidylgentamicin","2''-Nucleotidylgentamicin"
kegg:C03566,"2''-Nucleotidyltobramycin","2''-Nucleotidyltobramycin"
kegg:C03567,"2'-Hydroxydihydrodaidzein","2'-Hydroxy-2,3-dihydrodaidzein|2'-Hydroxydihydrodaidzein"
kegg:C03568,"2'-Phosphoadenylylsulfate","2'-Phosphoadenylylsulfate"
kegg:C03569,"2,2',3-Trihydroxybiphenyl","2,2',3-Trihydroxybiphenyl"
kegg:C03570,"D-Mannosamine","2-Amino-2-deoxy-D-mannose|D-Mannosamine"
kegg:C03571,"2-Amino-2-methylbutanoate","2-Amino-2-methylbutanoate"
kegg:C03572,"2-Chloro-cis,cis-muconate","2-Chloro-cis,cis-muconate"
kegg:C03573,"2-Deoxy-alpha-D-glucoside","2-Deoxy-alpha-D-glucoside"
kegg:C03574,"2-Formylaminobenzaldehyde","2-Formylaminobenzaldehyde"
kegg:C03575,"2-Iodophenol methyl ether","2-Iodophenol methyl ether"
kegg:C03576,"2-Mercaptoethanesulfonate","2-Mercaptoethanesulfonate|CoM|HS-CoM|Reduced coenzyme M"
kegg:C03577,"20-Hydroxyleukotriene E4","20-Hydroxyleukotriene E4|20-OH-LTE4|20-OH-Leukotriene E4"
kegg:C03578,"23,24-Dihydrocucurbitacin","23,24-Dihydrocucurbitacin"
kegg:C03579,"Gibberellin A8","2beta-Hydroxygibberellin 1|Gibberellin A8"
kegg:C03580,"3''-Adenylylspectinomycin","3''-Adenylylspectinomycin"
kegg:C03582,"3,4',5-Trihydroxystilbene","3,4',5-Trihydroxystilbene|Resveratrol"
kegg:C03584,"3-(Uracil-1-yl)-L-alanine","3-(Uracil-1-yl)-L-alanine|Willardiine"
kegg:C03585,"3-Chloro-cis,cis-muconate","3-Chloro-cis,cis-muconate"
kegg:C03586,"2-Oxo-2,3-dihydrofuran-5-acetate","2-Oxo-2,3-dihydrofuran-5-acetate|3-Oxoadipate enol-lactone|4,5-Dihydro-5-oxofuran-2-acetate|5-Oxo-4,5-dihydrofuran-2-acetate"
kegg:C03587,"3beta-Hydroxysterol ester","3beta-Hydroxysterol ester"
kegg:C03588,"4,5alpha-Dihydrocortisone","4,5alpha-Dihydrocortisone"
kegg:C03589,"4-Hydroxy-2-oxopentanoate","4-Hydroxy-2-oxopentanoate|4-Hydroxy-2-oxovalerate"
kegg:C03590,"4-Hydroxyphenylglyoxylate","4-Hydroxybenzoylformate|4-Hydroxyphenylglyoxylate|4-Hydroxyphenylglyoxylic acid"
kegg:C03591,"5-Chloro-3-methylcatechol","5-Chloro-3-methylcatechol"
kegg:C03592,"5-Methyl-2'-deoxycytidine","5-Methyl-2'-deoxycytidine"
kegg:C03594,"7alpha-Hydroxycholesterol","7alpha-Hydroxycholesterol|Cholest-5-ene-3beta,7alpha-diol"
kegg:C03595,"8,11,14-Eicosatrienoyl-CoA","(8Z,11Z,14Z)-Icosatrienoyl-CoA|8,11,14-Eicosatrienoyl-CoA|8,11,14-Icosatrienoyl-CoA"
kegg:C03597,"Actinomycinic monolactone","Actinomycinic monolactone"
kegg:C03598,"CDP-3,6-dideoxy-D-glucose","CDP-3,6-dideoxy-D-glucose|CDPparatose"
kegg:C03599,"CDP-3,6-dideoxy-D-mannose","CDP-3,6-dideoxy-D-mannose|CDPtyvelose"
kegg:C03600,"Carboxymethyloxysuccinate","(Carboxymethoxy) succinic acid|Carboxymethyloxysuccinate"
kegg:C03601,"Chloramphenicol 3-acetate","Chloramphenicol 3-acetate"
kegg:C03604,"D-Erythrulose 4-phosphate","D-Erythrulose 4-phosphate"
kegg:C03606,"D-Hamamelose 2(1)-phosphate","D-Hamamelose 2(1)-phosphate"
kegg:C03607,"Deoxynucleoside phosphate","Deoxynucleoside phosphate"
kegg:C03611,"Galactose oligosaccharide","Galactose oligosaccharide"
kegg:C03614,"Inosine 5'-tetraphosphate","Inosine 5'-tetraphosphate"
kegg:C03617,"L-Methionylaminoacyl-tRNA","L-Methionylaminoacyl-tRNA"
kegg:C03618,"L-threo-3-Methylaspartate","L-threo-3-Methylaspartate"
kegg:C03619,"Methyl beta-D-galactoside","Methyl beta-D-galactopyranoside|Methyl beta-D-galactoside"
kegg:C03620,"Monocarboxylic acid amide","Monocarboxylic acid amide"
kegg:C03621,"N-Acetoxy-4-aminobiphenyl","N-Acetoxy-4-aminobiphenyl"
kegg:C03622,"N-Hydroxy-4-aminobiphenyl","N-Hydroxy-4-aminobiphenyl"
kegg:C03623,"N-Methyl-2-oxoglutaramate","N-Methyl-2-oxoglutaramate"
kegg:C03624,"N-Phosphohypotaurocyamine","N(omega)-Phosphohypotaurocyamine|N-Phosphohypotaurocyamine"
kegg:C03625,"N5-Acyl-L-ornithine ester","N5-Acyl-L-ornithine ester"
kegg:C03626,"NG,NG-Dimethyl-L-arginine","ADMA|N,N-Dimethylarginine|NG,NG-Dimethyl-L-arginine|Nomega,Nomega'-Dimethyl-L-arginine"
kegg:C03629,"O-Phosphorylhydroxylamine","O-Phosphonohydroxylamine|O-Phosphorylhydroxylamine"
kegg:C03630,"Oleoylglycerone phosphate","Oleoylglycerone phosphate"
kegg:C03631,"Oleoylphosphatidylcholine","Oleoylphosphatidylcholine"
kegg:C03632,"Oligosaccharide phosphate","Oligosaccharide phosphate"
kegg:C03633,"Peptidylproline (omega=0)","Peptidylproline (omega=0)"
kegg:C03634,"Phorbol 12,13-dibutanoate","Phorbol 12,13-dibutanoate|Phorbol-12,13-dibutyrate"
kegg:C03635,"Protein N-ubiquityllysine","Protein N-ubiquityllysine"
kegg:C03636,"Protein N5-alkylglutamine","Protein N5-alkylglutamine"
kegg:C03637,"Protein serine D-xyloside","Protein serine D-xyloside"
kegg:C03638,"RNA 3'-terminal-phosphate","RNA 3'-terminal-phosphate"
kegg:C03640,"Sphingosyl-phosphocholine","Sphingosyl-phosphocholine"
kegg:C03641,"Sterol 3-beta-D-glucoside","Sterol 3-beta-D-glucoside"
kegg:C03642,"Taurolithocholate sulfate","3alpha-Sulfatolithocholyltaurine|Taurolithocholate sulfate|Taurolithocholic acid 3-sulfate"
kegg:C03643,"[Tyrosine-3-monoxygenase]","[Tyrosine-3-monoxygenase]"
kegg:C03645,"alpha-L-Arabinofuranoside","alpha-L-Arabinofuranoside"
kegg:C03646,"Bis-gamma-glutamylcystine","Bis-gamma-L-glutamyl-L-cystine|Bis-gamma-glutamylcystine|Oxidized gamma-L-glutamyl-L-cysteine|Oxidized gamma-glutamylcysteine"
kegg:C03647,"cis,trans-Hexadienedioate","cis,trans-Hexadienedioate|cis-trans-hexadienedioate"
kegg:C03648,"cis-3,4-Leucopelargonidin","cis-3,4-Leucopelargonidin"
kegg:C03649,"gamma-L-Glutamyl-acceptor","gamma-L-Glutamyl-acceptor"
kegg:C03651,"trans-4-Hydroxy-D-proline","trans-4-Hydroxy-D-proline"
kegg:C03652,"(2R,3S)-2,3-Dimethylmalate","(2R,3S)-2,3-Dimethylmalate|2,3-dimethylmalate"
kegg:C03654,"(3S,4R)-Ketose 1-phosphate","(3S,4R)-Ketose 1-phosphate"
kegg:C03656,"(S)-5-Amino-3-oxohexanoic acid","(S)-5-Amino-3-oxohexanoate|(S)-5-Amino-3-oxohexanoic acid"
kegg:C03657,"1,4-Dihydroxy-2-naphthoate","1,4-Dihydroxy-2-naphthoate|1,4-Dihydroxy-2-naphthoic acid"
kegg:C03658,"1-Hydroxyalkyl-sn-glycerol","1-Hydroxyalkyl-sn-glycerol"
kegg:C03659,"1-O-Methyl-myo-inositol","1-O-Methyl-myo-inositol|1D-1-O-Methyl-myo-inositol"
kegg:C03660,"3-O-Methyl-myo-inositol","1D-3-O-Methyl-myo-inositol|3-O-Methyl-myo-inositol"
kegg:C03661,"1F-beta-D-Fructosylsucrose","1F-beta-D-Fructosylsucrose|beta-D-Fructofuranosyl-(2->1)-beta-D-fructofuranosyl alpha-D-glucopyranoside"
kegg:C03662,"2'-Hydroxypseudobaptigenin","2'-Hydroxypseudobaptigenin"
kegg:C03663,"2',4'-Dihydroxyacetophenone","2',4'-Dihydroxyacetophenone|2,4-Dihydroxyacetophenone|Resacetophenone"
kegg:C03664,"2,4-Dichlorophenoxyacetate","2,4-D|2,4-Dichlorophenoxyacetate|2,4-Dichlorophenoxyacetic acid"
kegg:C03665,"2-Amino-2-methylpropanoate","2-Amino-2-methylpropanoate|2-Aminoisobutyric acid"
kegg:C03666,"2-Carboxy-cis,cis-muconate","2-Carboxy-cis,cis-muconate"
kegg:C03667,"2-Hydroxycarbonyl compound","2-Hydroxycarbonyl compound"
kegg:C03668,"2-Hydroxydicarboxylic acid","2-Hydroxydicarboxylic acid"
kegg:C03671,"2-Pyrone-4,6-dicarboxylate","2-Pyrone-4,6-dicarboxylate"
kegg:C03672,"3-(4-Hydroxyphenyl)lactate","2-Hydroxy-3-(4-hydroxyphenyl)propanoate|3-(4-Hydroxyphenyl)lactate|4-Hydroxyphenyllactate|p-Hydroxyphenyllactate"
kegg:C03673,"3-(ADP)-2-phosphoglycerate","3-(ADP)-2-phosphoglycerate"
kegg:C03674,"3-Carbamoyloxymethylcephem","3-Carbamoyloxymethylcephem"
kegg:C03676,"3-Hydroxy-cis,cis-muconate","3-Hydroxy-cis,cis-muconate"
kegg:C03677,"4,21-Dehydrogeissoschizine","4,21-Dehydrogeissoschizine"
kegg:C03678,"4-Amino-3-hydroxybutanoate","4-Amino-3-hydroxybutanoate|4-Amino-3-hydroxybutanoic acid|GABOB|gamma-Amino-beta-hydroxybutyric acid"
kegg:C03679,"4-Chlorophenylacetonitrile","4-Chlorobenzyl cyanide|4-Chlorophenylacetonitrile"
kegg:C03680,"4-Imidazolone-5-propanoate","4,5-Dihydro-4-oxo-5-imidazolepropanoate|4-Imidazolone-5-propanoate|4-Imidazolone-5-propionic acid"
kegg:C03681,"5alpha-Pregnane-3,20-dione","5alpha-Dihydroprogesterone|5alpha-Pregnane-3,20-dione"
kegg:C03682,"6-Acetamido-3-oxohexanoate","6-Acetamido-3-oxohexanoate"
kegg:C03683,"6-Demethylsterigmatocystin","6-Demethylsterigmatocystin"
kegg:C03684,"6-Pyruvoyltetrahydropterin","6-(1,2-Dioxopropyl)-5,6,7,8-tetrahydropterin|6-Pyruvoyl-5,6,7,8-tetrahydropterin|6-Pyruvoyltetrahydropterin"
kegg:C03685,"7-Methyl-3-oxooctanoyl-CoA","7-Methyl-3-oxooctanoyl-CoA"
kegg:C03686,"O-Methylsterigmatocystin","8-O-Methylsterigmatocystin|O-Methylsterigmatocystin"
kegg:C03687,"Alkane-alpha,omega-diamine","Alkane-alpha,omega-diamine"
kegg:C03688,"Apo-[acyl-carrier-protein]","Apo-[acyl-carrier-protein]|acyl-carrier-protein"
kegg:C03690,"Bis(2-ethylhexyl)phthalate","Bis(2-ethylhexyl)phthalate|DEHP|Di(2-ethylhexyl)phthalate|Dioctyl phthalate"
kegg:C03691,"CMP-N-glycoloylneuraminate","CMP-N-glycoloylneuraminate|CMP-N-glycolylneuraminate|CMP-NeuNGc"
kegg:C03692,"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol","1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol|3-(beta-D-Galactosyl)-1,2-diacyl-sn-glycerol|3-beta-D-Galactosyl-1,2-diacylglycerol|D-Galactosyldiacylglycerol|Galbeta1->3acyl2Gro|MGDG|Monogalactosyl-diacylglycerol|Monogalactosyldiglyceride"
kegg:C03693,"D-Mannose 1,6-bisphosphate","D-Mannose 1,6-bisphosphate"
kegg:C03701,"Glycosyl-N-acylsphingosine","Glycosyl-N-acylsphingosine"
kegg:C03702,"Histone N6-methyl-L-lysine","Histone N6-methyl-L-lysine"
kegg:C03703,"L-5-Carboxymethylhydantoin","L-5-Carboxymethylhydantoin"
kegg:C03706,"Lysosomal-enzyme D-mannose","Lysosomal-enzyme D-mannose"
kegg:C03707,"Monoterpenol acetate ester","Monoterpenol acetate ester"
kegg:C03708,"N-Acetyl-O-acetylneuraminate","N-Acetyl-O-acetylneuraminate"
kegg:C03709,"N-Adenylyl-L-phenylalanine","N-Adenylyl-L-phenylalanine"
kegg:C03710,"N-Benzyloxycarbonylglycine","Benzyloxycarbonylglycine|N-Benzyloxycarbonylglycine|N-CBZ-glycine|benzyloxycarbonylglycine"
kegg:C03711,"N-Methylphenylethanolamine","N-Methylphenylethanolamine|alpha-[(Methylamino)methyl]-benzyl alcohol"
kegg:C03712,"N2,N5-Dibenzoyl-L-ornithine","L-Ornithuric acid|N2,N5-Dibenzoyl-L-ornithine"
kegg:C03715,"O-Alkylglycerone phosphate","Alkyl-glycerone 3-phosphate|Dihydroxyacetone phosphate alkyl ether|O-Alkylglycerone phosphate"
kegg:C03716,"Oxaloacetate 4-methyl ester","Oxaloacetate 4-methyl ester"
kegg:C03717,"Oxidized Renilla luciferin","Oxidized Renilla luciferin"
kegg:C03719,"Phenylacetothiohydroximate","Phenylacetothiohydroximate"
kegg:C03721,"Protein tyrosine-O-sulfate","Protein tyrosine-O-sulfate"
kegg:C03722,"Quinolinate","2,3-Pyridinedicarboxylic acid|Pyridine-2,3-dicarboxylate|Quinolinate|Quinolinic acid"
kegg:C03723,"Ribonucleoside diphosphate","Ribonucleoside diphosphate"
kegg:C03724,"S-(5-Hydroxy-2-furoyl)-CoA","S-(5-Hydroxy-2-furoyl)-CoA"
kegg:C03725,"S-Acetylphosphopantetheine","S-Acetylphosphopantetheine"
kegg:C03726,"S-Alkyl-L-cysteine S-oxide","S-Alkyl-L-cysteine S-oxide"
kegg:C03727,"S-Carboxymethyl-L-cysteine","L-Carbocisteine|S-Carboxymethyl-L-cysteine"
kegg:C03730,"Single-stranded nucleotide","Single-stranded nucleotide"
kegg:C03731,"Streptomycin 3''-phosphate","Streptomycin 3''-phosphate"
kegg:C03733,"UDP-alpha-D-galacto-1,4-furanose","UDP-D-galacto-1,4-furanose|UDP-alpha-D-galacto-1,4-furanose"
kegg:C03734,"alpha-D-Glutamyl phosphate","alpha-D-Glutamyl phosphate"
kegg:C03735,"alpha-D-Hexose 6-phosphate","alpha-D-Hexose 6-phosphate"
kegg:C03736,"alpha-D-Ribose 5-phosphate","alpha-D-Ribose 5-phosphate"
kegg:C03737,"alpha-D-Xylose 1-phosphate","alpha-D-Xylose 1-phosphate"
kegg:C03738,"gamma-L-Glutamyl-D-alanine","L-gamma-Glutamyl-D-alanine|gamma-L-Glutamyl-D-alanine"
kegg:C03739,"trans-1,2-Cyclohexanediol","trans-1,2-Cyclohexanediol|trans-Cyclohexane-1,2-diol"
kegg:C03740,"(5-L-Glutamyl)-L-amino acid","(5-L-Glutamyl)-L-amino acid|L-gamma-Glutamyl-L-amino acid"
kegg:C03741,"(S)-4-Amino-5-oxopentanoate","(S)-4-Amino-5-oxopentanoate|L-Glutamate 1-semialdehyde"
kegg:C03742,"(S)-4-Hydroxymandelonitrile","(S)-4-Hydroxymandelonitrile"
kegg:C03743,"1,2,3,5-Tetrahydroxybenzene","1,2,3,5-Tetrahydroxybenzene"
kegg:C03747,"11alpha-Hydroxyprogesterone","11alpha-Hydroxyprogesterone"
kegg:C03748,"16alpha-Hydroxyprogesterone","16-alpha-Hydroxyprogesterone|16alpha-Hydroxyprogesterone"
kegg:C03750,"2,6-Dioxo-6-phenylhexanoate","2,6-Dioxo-6-phenylhexanoate"
kegg:C03752,"2-Amino-2-deoxy-D-gluconate","2-Amino-2-deoxy-D-gluconate|D-Glucosaminate|D-Glucosaminic acid|Glucosaminate"
kegg:C03753,"2-Chloro-1,4-naphthoquinone","2-Chloro-1,4-naphthoquinone"
kegg:C03754,"2-Methylpropanoyl phosphate","2-Methylpropanoyl phosphate|2-Methylpropionyl phosphate"
kegg:C03755,"3'-Deoxydihydrostreptomycin","3'-Deoxydihydrostreptomycin"
kegg:C03757,"3,4-Dihydroxymandelonitrile","3,4-Dihydroxymandelonitrile"
kegg:C03758,"Dopamine","2-(3,4-Dihydroxyphenyl)ethylamine|3,4-Dihydroxyphenethylamine|4-(2-Aminoethyl)-1,2-benzenediol|4-(2-Aminoethyl)benzene-1,2-diol|Dopamine"
kegg:C03761,"3-Hydroxy-3-methylglutarate","3-Hydorxy-3-methylglutaric acid|3-Hydroxy-3-methylglutarate|3-Hydroxy-3-methylpentanedioic acid|Dicrotalic acid|Meglutol|beta-Hydroxy-beta-methylglutaric acid"
kegg:C03762,"3-Imidazole-2-oxopropanoate","3-Imidazole-2-oxopropanoate"
kegg:C03764,"para-(Dimethylamino)azobenzene","4-(Dimethylamino)phenylazobenzene|Dimethyl yellow|Methyl yellow|N,N-Dimethyl-4-(phenylazo)benzenamine|para-(Dimethylamino)azobenzene"
kegg:C03765,"4-Hydroxyphenylacetaldehyde","2-(4-Hydroxyphenyl)acetaldehyde|4-Hydroxyphenylacetaldehyde"
kegg:C03766,"4-Hydroxyphenylacetonitrile","4-Hydroxybenzyl cyanide|4-Hydroxyphenylacetonitrile"
kegg:C03767,"4-Oxocyclohexanecarboxylate","4-Oxocyclohexanecarboxylate"
kegg:C03768,"4-Substituted phenylacetate","4-Substituted phenylacetate"
kegg:C03771,"5-Guanidino-2-oxopentanoate","2-Oxo-5-guanidino-pentanoate|2-Oxo-5-guanidinopentanoate|2-Oxoarginine|5-Guanidino-2-oxo-pentanoate|5-Guanidino-2-oxopentanoate"
kegg:C03772,"5beta-Androstane-3,17-dione","5beta-Androstane-3,17-dione"
kegg:C03773,"6-Acetyl-beta-D-galactoside","6-Acetyl-beta-D-galactoside"
kegg:C03776,"N-Acetyl-D-mannosaminolactone","N-Acetyl-D-mannosaminolactone"
kegg:C03779,"Bis(4-nitrophenyl)phosphate","Bis(4-nitrophenyl)phosphate|Bis-4-nitrophenyl phosphate"
kegg:C03782,"D-(1-Aminoethyl)phosphonate","D-(1-Aminoethyl)phosphonate|D-(1-Aminoethyl)phosphonic acid"
kegg:C03783,"D-Galactosamine 1-phosphate","D-Galactosamine 1-phosphate"
kegg:C03785,"D-Tagatose 1,6-bisphosphate","D-Tagatose 1,6-bisphosphate"
kegg:C03786,"Deoxynucleoside diphosphate","Deoxynucleoside diphosphate"
kegg:C03788,"Microsomal-membrane protein","Microsomal-membrane protein"
kegg:C03789,"N,6-O-Disulfo-D-glucosamine","N,6-O-Disulfo-D-glucosamine|N2,6-Disulfo-D-glucosamine"
kegg:C03790,"N-(Carboxymethyl)-D-alanine","N-(Carboxymethyl)-D-alanine|Strombine"
kegg:C03792,"N-Acyl-D-mannosaminolactone","N-Acyl-D-mannosaminolactone"
kegg:C03793,"N6,N6,N6-Trimethyl-L-lysine","N6,N6,N6-Trimethyl-L-lysine"
kegg:C03794,"N6-(1,2-Dicarboxyethyl)-AMP","Adenylosuccinate|Adenylosuccinic acid|N6-(1,2-Dicarboxyethyl)-AMP|N6-(1,2-Dicarboxyethyl)AMP"
kegg:C03795,"N6-Methyl-2'-deoxyadenosine","N6-Methyl-2'-deoxyadenosine"
kegg:C03796,"Oleandomycin 2'-O-phosphate","Oleandomycin 2'-O-phosphate"
kegg:C03797,"Oxidized Photinus luciferin","Oxidized Photinus luciferin"
kegg:C03798,"Peptidylproline (omega=180)","Peptidylproline (omega=180)"
kegg:C03799,"Polyprenylphosphate-glucose","Polyprenylphosphate-glucose"
kegg:C03800,"Protein S-methyl-L-cysteine","Protein S-methyl-L-cysteine"
kegg:C03801,"Pteroylpoly-gamma-glutamate","Pteroylpoly-gamma-glutamate"
kegg:C03802,"Ribonucleoside triphosphate","Ribonucleoside triphosphate"
kegg:C03803,"Ribosomal-protein L-alanine","Ribosomal-protein L-alanine|Ribosomal-protein N-terminal-L-alanine"
kegg:C03804,"S-Methyl-1-thio-D-glycerate","S-Methyl-1-thio-D-glycerate"
kegg:C03805,"Stearoylglycerone phosphate","Stearoylglycerone phosphate"
kegg:C03806,"Substituted beta-amino acid","Substituted beta-amino acid"
kegg:C03808,"[Pyruvate kinase] phosphate","[Pyruvate kinase] phosphate"
kegg:C03811,"alpha-D-Glucose 3-phosphate","alpha-D-Glucose 3-phosphate"
kegg:C03817,"(S)-3-(Imidazol-5-yl)lactate","(S)-3-(Imidazol-5-yl)lactate"
kegg:C03819,"1-Acylglycerophosphoinositol","1-Acyl-sn-glycero-3-phosphoinositol|1-Acylglycerophosphoinositol"
kegg:C03820,"1-Alkyl-2-acetyl-sn-glycerol","1-Alkyl-2-acetyl-sn-glycerol|1-O-Alkyl-2-acetyl-sn-glycerol|2-Acetyl-1-alkyl-sn-glycerol"
kegg:C03822,"2,6-Dichlorophenolindophenol sodium salt","2,6-Dichloroindophenol sodium salt|2,6-Dichlorophenolindophenol sodium salt"
kegg:C03823,"2-(2-Hydroxyacyl)sphingosine","2-(2-Hydroxyacyl)sphingosine"
kegg:C03824,"2-Aminomuconate semialdehyde","2-Aminomuconate 6-semialdehyde|2-Aminomuconate semialdehyde"
kegg:C03826,"2-Dehydro-3-deoxy-D-xylonate","(4S)-4,5-Dihydroxy-2-oxopentanoate|2-Dehydro-3-deoxy-D-arabinonate|2-Dehydro-3-deoxy-D-pentonate|2-Dehydro-3-deoxy-D-xylonate"
kegg:C03827,"2-Dehydro-3-deoxy-L-fuconate","2-Dehydro-3-deoxy-L-fuconate"
kegg:C03828,"2-Deoxystreptamine phospahte","2-Deoxystreptamine phospahte"
kegg:C03829,"2S,5S-Methionine sulfoximine","(R-(R*,S*))-S-(3-Amino-3-carboxypropyl)-S-methylsulphoximide|2S,5S-Methionine sulfoximine"
kegg:C03830,"3,4-Dehydro-6-hydroxymellein","3,4-Dehydro-6-hydroxymellein"
kegg:C03832,"3,5,3'-Triiodothyropyruvate","3,5,3'-Triiodothyropyruvate|3-[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]-2-oxopropanoate"
kegg:C03834,"3-Hydroxymonocarboxylic acid","3-Hydroxymonocarboxylic acid"
kegg:C03836,"3beta-Hydroxy-delta5-steroid","3beta-Hydroxy-delta5-steroid"
kegg:C03837,"4-Methylumbelliferyl acetate","4-Methylumbelliferyl acetate"
kegg:C03838,"5'-Phosphoribosylglycinamide","5'-Phosphoribosylglycinamide|GAR|Glycinamide ribonucleotide|N1-(5-Phospho-D-ribosyl)glycinamide"
kegg:C03840,"5-Hydroxy-1,4-naphthoquinone","5-Hydroxy-1,4-naphthoquinone|Juglone"
kegg:C03843,"5-exo-Hydroxy-1,2-campholide","5-exo-Hydroxy-1,2-campholide"
kegg:C03844,"D-Pinitol","1D-3-O-Methyl-chiro-inositol|5D-5-O-Methyl-chiro-inositol|D-Pinitol"
kegg:C03845,"5alpha-Cholest-8-en-3beta-ol","5alpha-Cholest-8-en-3beta-ol|Cholestenol|Zymostenol"
kegg:C03846,"6-Acetamido-3-aminohexanoate","6-Acetamido-3-aminohexanoate"
kegg:C03847,"6-Phospho-beta-D-galactoside","6-Phospho-beta-D-galactoside"
kegg:C03848,"6F-alpha-D-Galactosylsucrose","6F-alpha-D-Galactosylsucrose|Planteose"
kegg:C03849,"Acyl-sn-glycerol 3-phosphate","Acyl-sn-glycerol 3-phosphate"
kegg:C03850,"Adenosine 2',5'-bisphosphate","Adenosine 2',5'-bisphosphate"
kegg:C03851,"Adenosine 5'-phosphoramidate","Adenosine 5'-phosphoramidate"
kegg:C03852,"Androstan-3alpha,17beta-diol","Androstan-3alpha,17beta-diol"
kegg:C03853,"Bis(glycerophospho)-glycerol","Bis(glycerophospho)-glycerol"
kegg:C03855,"Cholesteryl-beta-D-glucoside","Cholesteryl-beta-D-glucoside"
kegg:C03857,"D-Fructosyl-D-fructofuranose","D-Fructosyl-D-fructofuranose"
kegg:C03858,"D-Glucosyldihydrosphingosine","D-Glucosyldihydrosphingosine"
kegg:C03859,"D-Glucosyllipopolysaccharide","D-Glucosyllipopolysaccharide"
kegg:C03860,"Deaminohydroxyblasticidin S","Deaminohydroxyblasticidin S"
kegg:C03861,"Dibenzo[1,4]dioxin-2,3-dione","Dibenzo[1,4]dioxin-2,3-dione|Diphenylenedioxide-2,3-quinone"
kegg:C03862,"Dolichyl phosphate D-mannose","Dolichyl D-mannosyl phosphate|Dolichyl phosphate D-mannose"
kegg:C03864,"Ethyl (R)-3-hydroxyhexanoate","Ethyl (R)-3-hydroxyhexanoate"
kegg:C03865,"Ethyl (S)-3-hydroxyhexanoate","Ethyl (S)-3-hydroxyhexanoate"
kegg:C03866,"Glucuronoxylan D-glucuronate","Glucuronoxylan|Glucuronoxylan D-glucuronate"
kegg:C03868,"Indole-3-acetyl-myo-inositol","Indol-3-ylacetyl-myo-inositol|Indole-3-acetyl-myo-inositol|Indole-3-ylacetyl-myo-inositol"
kegg:C03870,"Isoorientin 2''-O-rhamnoside","Isoorientin 2''-O-rhamnoside"
kegg:C03871,"L-2-Amino-6-oxoheptanedioate","L-2-Amino-6-oxoheptanedioate|L-2-Amino-6-oxopimelate"
kegg:C03872,"L-Serine-phosphoethanolamine","L-Serine-phosphoethanolamine|Serine phosphoethanolamine"
kegg:C03873,"Linoleoylphosphatidylcholine","2-Acyl-1-linoleoyl-sn-glycero-3-phosphocholine|Linoleoylphosphatidylcholine"
kegg:C03874,"Myosin heavy-chain phosphate","Myosin heavy-chain phosphate"
kegg:C03875,"Myosin light chain phosphate","Myosin light chain phosphate|Myosin light-chain phosphate"
kegg:C03878,"N-Acetyl-beta-D-glucosamine","N-Acetyl-beta-D-glucosamine"
kegg:C03879,"N-Acetyl-beta-D-hexosaminide","N-Acetyl-beta-D-hexosaminide"
kegg:C03880,"N-Substituted aminoacyl-tRNA","N-Substituted aminoacyl-tRNA"
kegg:C03881,"N-Tetradecanoylglycylpeptide","N-Tetradecanoylglycylpeptide"
kegg:C03882,"Piperine","1-Piperoyl-piperidine|N-[(E,E)-Piperoyl]piperidine|Piperine"
kegg:C03884,"Ngamma-Monomethyl-L-arginine","Ngamma-Monomethyl-L-arginine"
kegg:C03885,"3-Nonaprenyl-4-hydroxybenzoate","3-Nonaprenyl-4-hydroxybenzoate|Nonaprenyl-4-hydroxybenzoate"
kegg:C03886,"Nucleoside 5'-phosphoacylate","Nucleoside 5'-phosphoacylate"
kegg:C03887,"Oxidized Cypridina luciferin","Oxidized Cypridina luciferin"
kegg:C03888,"Oxidized Watasenia luciferin","Oxidized Watasenia luciferin"
kegg:C03889,"Palmitoylphosphatidylcholine","Palmitoylphosphatidylcholine"
kegg:C03890,"Peptide(N-Glu, Asp, Cystine)","Peptide(N-Glu, Asp, Cystine)"
kegg:C03892,"Phosphatidylglycerophosphate","1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol 3'-phosphate|3(3-Phosphatidyl-)L-glycerol 1-phosphate|3(3-sn-Phosphatidyl)-sn-glycerol 1-phosphate|Phosphatidylglycerophosphate"
kegg:C03893,"Poly(alpha-L-1,4-guluronate)","Poly(alpha-L-1,4-guluronate)"
kegg:C03894,"Propane-1,2-diol 1-phosphate","Propane-1,2-diol 1-phosphate"
kegg:C03895,"Peptide-L-methionine (S)-S-oxide","Peptide-L-methionine (S)-S-oxide"
kegg:C03897,"Quercetin 3,3',7-trissulfate","Quercetin 3,3',7-trissulfate"
kegg:C03898,"Quercetin 3,4',7-trissulfate","Quercetin 3,4',7-trissulfate"
kegg:C03899,"S-(2-Hydroxyacyl)glutathione","S-(2-Hydroxyacyl)glutathione"
kegg:C03900,"S-(4-Bromophenyl)-L-cysteine","S-(4-Bromophenyl)-L-cysteine"
kegg:C03901,"Thiomorpholine 3-carboxylate","Thiomorpholine 3-carboxylate"
kegg:C03904,"alpha-N-Peptidyl-L-glutamate","alpha-N-Peptidyl-L-glutamate"
kegg:C03905,"alpha-N-Peptidyl-L-glutamine","alpha-N-Peptidyl-L-glutamine"
