compound_id,preferred_name,synonyms
kegg:C00173,"Acyl-[acyl-carrier protein]","Acyl-[acyl-carrier protein]|Long-chain-acyl-[acyl-carrier protein]"
kegg:C00174,"Acid","Acid"
kegg:C00175,"Cobalt ion","Co(II)|Co2+|Cobalt ion|Cobalt(2+)"
kegg:C00176,"Flavin","Flavin"
kegg:C00177,"Cyanide","CN-|Cyanide|Cyano|Prussiate"
kegg:C00178,"Thymine","5-Methyluracil|Thymine"
kegg:C00179,"Agmatine","(4-Aminobutyl) guanidine|Agmatine"
kegg:C00180,"Benzoate","Benzenecarboxylic acid|Benzoate|Benzoic acid|Dracylic acid|Phenylformic acid"
kegg:C00181,"D-Xylose","D-Xylose|Wood sugar"
kegg:C00182,"Glycogen","Glycogen"
kegg:C00183,"L-Valine","2-Amino-3-methylbutyric acid|L-Valine"
kegg:C00184,"Glycerone","1,3-Dihydroxy-2-propanone|1,3-Dihydroxyacetone|1,3-Dihydroxypropan-2-one|Dihydroxyacetone|Glycerone"
kegg:C00185,"Cellobiose","1-beta-D-Glucopyranosyl-4-D-glucopyranose|Cellobiose"
kegg:C00186,"(S)-Lactate","(S)-Lactate|L-Lactate|L-Lactic acid"
kegg:C00187,"Cholesterol","Cholest-5-en-3beta-ol|Cholesterol"
kegg:C00188,"L-Threonine","2-Amino-3-hydroxybutyric acid|L-Threonine"
kegg:C00189,"Ethanolamine","2-Hydroxyethylamine|Aminoethanol|Ethanolamine"
kegg:C00190,"UDP-D-xylose","UDP-D-xylose|UDP-alpha-D-xylose|UDP-xylose"
kegg:C00191,"D-Glucuronate","D-Glucuronate|Glucuronate|Glucuronic acid"
kegg:C00192,"Hydroxylamine","Hydroxylamine"
kegg:C00193,"Aromatic aldehyde","Aromatic aldehyde"
kegg:C00194,"Cobamide coenzyme","(5'-Deoxy-5'-adenosyl)cobamide coenzyme|(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|5'-Deoxy-5'-adenosyl vitamin B12|5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide|5'-Deoxy-5'-adenosylcobalamin|5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide|5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide|Adenosylcob(III)alamin|Adenosylcobalamin|Calomide|Cobalamin coenzyme|Cobamamide|Cobamide coenzyme|Coenzyme B12|DMBC coenzyme|Deoxyadenosylcobalamin|Dibencozide|Funacomide|Vitamin B12 coenzyme|alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme"
kegg:C00195,"N-Acylsphingosine","Ceramide|N-Acylsphingosine"
kegg:C00196,"2,3-Dihydroxybenzoate","2,3-Dihydroxybenzoate|2,3-Dihydroxybenzoic acid"
kegg:C00197,"3-Phospho-D-glycerate","(r)-3-Phosphoglycerate|(r)-3-phosphoglycerate|3-Phospho-(R)-glycerate|3-Phospho-D-glycerate|3-Phosphoglycerate|D-Glycerate 3-phosphate"
kegg:C00198,"D-Glucono-1,5-lactone","1,5-Gluconolactone|D-Glucono-1,5-lactone|D-Gluconolactone|Gluconic acid lactone|Gluconic lactone|Gluconolactone|delta-Gluconolactone"
kegg:C00199,"D-Ribulose 5-phosphate","D-Ribulose 5-phosphate"
kegg:C00200,"Phenazine methosulfate","5-Methylphenazinium methyl sulphate|N-Methylphenazonium methosulfate|Phenazine methosulfate"
kegg:C00201,"Nucleoside triphosphate","NTP|Nucleoside triphosphate"
kegg:C00202,"Isoflurophate","DFP|Diisopropyl fluorophosphate|Isoflurophate"
kegg:C00203,"UDP-N-acetyl-D-galactosamine","UDP-N-acetyl-D-galactosamine"
kegg:C00204,"2-Dehydro-3-deoxy-D-gluconate","2-Dehydro-3-deoxy-D-gluconate|2-Keto-3-deoxy-D-gluconate|2-oxo-3-deoxy-d-gluconate"
kegg:C00205,"hn","Light|Photon|hn|hnu"
kegg:C00206,"dADP","2'-Deoxyadenosine 5'-diphosphate|dADP|dadp"
kegg:C00207,"Acetone","2-Propanone|Acetone|Dimethyl ketone"
kegg:C00208,"Maltose","Malt sugar|Maltose|alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose"
kegg:C00209,"Oxalate","Ethanedioic acid|Oxalate|Oxalic acid"
kegg:C00210,"Cobamide","Cobamide"
kegg:C00211,"Collagen","Collagen"
kegg:C00212,"Adenosine","Adenosine"
kegg:C00213,"Sarcosine","N-Methylglycine|Sarcosine"
kegg:C00214,"Thymidine","Deoxythymidine|Thymidine"
kegg:C00215,"Nucleotide","Nucleotide"
kegg:C00216,"D-Arabinose","D-Arabinose"
kegg:C00217,"D-Glutamate","D-2-Aminoglutaric acid|D-Glutamate|D-Glutamic acid|D-Glutaminic acid"
kegg:C00218,"Methylamine","Methanamine|Methylamine"
kegg:C00219,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid","(5Z,8Z,11Z,14Z)-Icosatetraenoic acid|Arachidonate|Arachidonic acid|cis-5,8,11,14-Eicosatetraenoic acid"
kegg:C00220,"Methylene blue","Methylene blue|Methylthioninium chloride"
kegg:C00221,"beta-D-Glucose","beta-D-Glucose"
kegg:C00222,"3-Oxopropanoate","3-Oxopropanoate|Malonate semialdehyde"
kegg:C00223,"p-Coumaroyl-CoA","4-Coumaroyl-CoA|4-Hydroxycinnamoyl-CoA|p-Coumaroyl-CoA"
kegg:C00224,"Adenylyl sulfate","5'-Adenylyl sulfate|APS|Adenosine 5'-phosphosulfate|Adenylyl sulfate|adenylylsulfate"
kegg:C00225,"Methyl viologen","1,1'-Dimethyl-4,4'-bipyridinium dichloride|Methyl viologen|Paraquat dichloride|oxidized Methyl viologen"
kegg:C00226,"Primary alcohol","1-Alcohol|Primary alcohol"
kegg:C00227,"Acetyl phosphate","Acetyl phosphate|acetyl phosphate-2-"
kegg:C00229,"Acyl-carrier protein","ACP|Acyl-carrier protein|Holo-[acyl-carrier protein]|[Acyl-carrier protein]"
kegg:C00230,"3,4-Dihydroxybenzoate","3,4-Dihydroxybenzoate|3,4-Dihydroxybenzoic acid|Protocatechuate|Protocatechuic acid"
kegg:C00231,"D-Xylulose 5-phosphate","D-Xylulose 5-phosphate"
kegg:C00232,"Succinate semialdehyde","4-Oxobutanoate|Succinate semialdehyde|Succinic semialdehyde"
kegg:C00233,"4-Methyl-2-oxopentanoate","2-Oxoisocaproate|4-Methyl-2-oxopentanoate|4-methyl-2-oxopentanooate"
kegg:C00234,"10-Formyltetrahydrofolate","10-Formyl-THF|10-Formyltetrahydrofolate"
kegg:C00235,"Dimethylallyl diphosphate","2-Isopentenyl diphosphate|DMAPP|Dimethylallyl diphosphate|Dimethylallyl pyrophosphate|Monoprenyl diphosphate|Prenyl diphosphate|delta2-Isopentenyl diphosphate"
kegg:C00236,"3-Phospho-D-glyceroyl phosphate","(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid|1,3-Bisphospho-D-glycerate|3-Phospho-D-glyceroyl phosphate"
kegg:C00237,"CO","CO|Carbon monoxide"
kegg:C00238,"Potassium cation","K+|Potassium cation|Potassium ion|Potassium(1+)"
kegg:C00239,"dCMP","2'-Deoxycytidine 5'-monophosphate|Deoxycytidine monophosphate|Deoxycytidylate|Deoxycytidylic acid|dCMP"
kegg:C00240,"rRNA","Ribosomal RNA|rRNA"
kegg:C00241,"Amide","Amide"
kegg:C00242,"Guanine","2-Amino-6-hydroxypurine|Guanine"
kegg:C00243,"Lactose","1-beta-D-Galactopyranosyl-4-D-glucopyranose|Lactose|Milk sugar|beta-D-Gal-(1->4)-D-Glc"
kegg:C00244,"Nitrate","Nitrate|Nitric acid"
kegg:C00245,"Taurine","2-Aminoethanesulfonic acid|Aminoethylsulfonic acid|Taurine"
kegg:C00246,"Butanoic acid","Butanoate|Butanoic acid|Butyrate|Butyric acid"
kegg:C00247,"L-Sorbose","L-Sorbose|L-xylo-Hexulose"
kegg:C00248,"Lipoamide","Lipoamide|Thioctic acid amide"
